=============================================
Dataset: HAR
Method:  TS-TCC
Mode:    self_supervised
Seed:    2023
mask:    0.75
lam:     0.1
lr:      0.0001
ft_lt:   0.0001
pre_epo: 100
ft_epo:  200
head:    4
layer:   8
d_head:  2
d_layer: 2
fd_layer:2
=============================================
Data loaded ...
Pre-training started ....
Epoch 1/100: loss: 0.500958263874054, ts loss: 0.30388522148132324, fq loss: 0.1339205801486969, ts_freq loss: 0.4494571387767792, fq_freq loss: 0.18206726014614105
Epoch 11/100: loss: 0.12720516324043274, ts loss: 0.0840378999710083, fq loss: 0.03014952316880226, ts_freq loss: 0.09591012448072433, fq_freq loss: 0.03426744043827057

Epoch 12/100: loss: 0.1258033961057663, ts loss: 0.08364193141460419, fq loss: 0.029228612780570984, ts_freq loss: 0.09615659713745117, fq_freq loss: 0.03317197784781456

Epoch 13/100: loss: 0.12432035803794861, ts loss: 0.08248842507600784, fq loss: 0.029108675196766853, ts_freq loss: 0.09419330209493637, fq_freq loss: 0.03303924947977066

Epoch 14/100: loss: 0.12330719828605652, ts loss: 0.08146954327821732, fq loss: 0.029112527146935463, ts_freq loss: 0.09360477328300476, fq_freq loss: 0.03364654257893562

Epoch 15/100: loss: 0.12073208391666412, ts loss: 0.08020687848329544, fq loss: 0.028079621493816376, ts_freq loss: 0.09261143952608109, fq_freq loss: 0.03184427693486214

Epoch 16/100: loss: 0.11967101693153381, ts loss: 0.0803954005241394, fq loss: 0.027527960017323494, ts_freq loss: 0.08828244358301163, fq_freq loss: 0.02919408306479454

Epoch 17/100: loss: 0.11734728515148163, ts loss: 0.07927506417036057, fq loss: 0.026788221672177315, ts_freq loss: 0.08520106226205826, fq_freq loss: 0.027638843283057213

Epoch 18/100: loss: 0.11568583548069, ts loss: 0.07777094841003418, fq loss: 0.026776807382702827, ts_freq loss: 0.08348577469587326, fq_freq loss: 0.027895044535398483

Epoch 19/100: loss: 0.11427274346351624, ts loss: 0.07689797878265381, fq loss: 0.026093607768416405, ts_freq loss: 0.08469650149345398, fq_freq loss: 0.028115134686231613

Epoch 20/100: loss: 0.11252684891223907, ts loss: 0.07556282728910446, fq loss: 0.026098057627677917, ts_freq loss: 0.08144981414079666, fq_freq loss: 0.02721000835299492

Epoch 21/100: loss: 0.11138948053121567, ts loss: 0.07552079856395721, fq loss: 0.024976171553134918, ts_freq loss: 0.08242466300725937, fq_freq loss: 0.026500312611460686

Epoch 22/100: loss: 0.11055384576320648, ts loss: 0.07501599192619324, fq loss: 0.02463308908045292, ts_freq loss: 0.08232849091291428, fq_freq loss: 0.02671927399933338

Epoch 23/100: loss: 0.10802435129880905, ts loss: 0.07336709648370743, fq loss: 0.024181773886084557, ts_freq loss: 0.07925021648406982, fq_freq loss: 0.025504600256681442

Epoch 24/100: loss: 0.10625003278255463, ts loss: 0.07234010845422745, fq loss: 0.023502035066485405, ts_freq loss: 0.079170823097229, fq_freq loss: 0.024908145889639854

Epoch 25/100: loss: 0.10596892982721329, ts loss: 0.07190483808517456, fq loss: 0.02362334541976452, ts_freq loss: 0.07902819663286209, fq_freq loss: 0.0253792442381382

Epoch 26/100: loss: 0.10288090258836746, ts loss: 0.07031766325235367, fq loss: 0.022539444267749786, ts_freq loss: 0.07640386372804642, fq_freq loss: 0.023834185674786568

Epoch 27/100: loss: 0.10263792425394058, ts loss: 0.07007467746734619, fq loss: 0.022640831768512726, ts_freq loss: 0.0755181759595871, fq_freq loss: 0.02370605245232582

Epoch 28/100: loss: 0.10053040087223053, ts loss: 0.06945466250181198, fq loss: 0.02142096869647503, ts_freq loss: 0.07430538535118103, fq_freq loss: 0.0222422257065773

Epoch 29/100: loss: 0.10047674179077148, ts loss: 0.0690661296248436, fq loss: 0.021791432052850723, ts_freq loss: 0.07356256991624832, fq_freq loss: 0.022629259154200554

Epoch 30/100: loss: 0.0992598757147789, ts loss: 0.06854099780321121, fq loss: 0.02121640555560589, ts_freq loss: 0.07301566004753113, fq_freq loss: 0.022009044885635376

Epoch 31/100: loss: 0.09743409603834152, ts loss: 0.06754974275827408, fq loss: 0.02054835855960846, ts_freq loss: 0.07191973924636841, fq_freq loss: 0.02144024334847927

Epoch 32/100: loss: 0.09554077684879303, ts loss: 0.06652437895536423, fq loss: 0.019856194034218788, ts_freq loss: 0.07085002213716507, fq_freq loss: 0.0207520704716444

Epoch 33/100: loss: 0.09505920112133026, ts loss: 0.0657036304473877, fq loss: 0.020231831818819046, ts_freq loss: 0.07009392976760864, fq_freq loss: 0.021143531426787376

Epoch 34/100: loss: 0.09317466616630554, ts loss: 0.06527760624885559, fq loss: 0.018951939418911934, ts_freq loss: 0.06965915113687515, fq_freq loss: 0.019792070612311363

Epoch 35/100: loss: 0.09312709420919418, ts loss: 0.06515566259622574, fq loss: 0.019012821838259697, ts_freq loss: 0.06960003823041916, fq_freq loss: 0.01998591609299183

Epoch 36/100: loss: 0.09167920053005219, ts loss: 0.06427624821662903, fq loss: 0.018570635467767715, ts_freq loss: 0.06878725439310074, fq_freq loss: 0.019536040723323822

Epoch 37/100: loss: 0.09228754788637161, ts loss: 0.06396428495645523, fq loss: 0.019412992522120476, ts_freq loss: 0.06857863813638687, fq_freq loss: 0.02052411064505577

Epoch 38/100: loss: 0.09167128801345825, ts loss: 0.06366745382547379, fq loss: 0.019144799560308456, ts_freq loss: 0.06840889155864716, fq_freq loss: 0.02018143981695175

Epoch 39/100: loss: 0.09085457026958466, ts loss: 0.06353066116571426, fq loss: 0.01853049546480179, ts_freq loss: 0.0682930201292038, fq_freq loss: 0.01964113488793373

Epoch 40/100: loss: 0.09148623049259186, ts loss: 0.06343600153923035, fq loss: 0.019190384075045586, ts_freq loss: 0.06820039451122284, fq_freq loss: 0.020398050546646118

Epoch 41/100: loss: 0.09195630997419357, ts loss: 0.06364115327596664, fq loss: 0.019410286098718643, ts_freq loss: 0.0684623271226883, fq_freq loss: 0.020586319267749786

Epoch 42/100: loss: 0.08960728347301483, ts loss: 0.06274180114269257, fq loss: 0.018181096762418747, ts_freq loss: 0.06755853444337845, fq_freq loss: 0.019285278394818306

Epoch 43/100: loss: 0.08960701525211334, ts loss: 0.062400683760643005, fq loss: 0.01850106008350849, ts_freq loss: 0.06734752655029297, fq_freq loss: 0.019705219194293022

Epoch 44/100: loss: 0.08977934718132019, ts loss: 0.06301070004701614, fq loss: 0.018057137727737427, ts_freq loss: 0.06787807494401932, fq_freq loss: 0.019237035885453224

Epoch 45/100: loss: 0.08902807533740997, ts loss: 0.06219780072569847, fq loss: 0.018155911937355995, ts_freq loss: 0.06723801046609879, fq_freq loss: 0.01950548030436039

Epoch 46/100: loss: 0.08738690614700317, ts loss: 0.061652086675167084, fq loss: 0.01721777766942978, ts_freq loss: 0.06669113785028458, fq_freq loss: 0.018479328602552414

Epoch 47/100: loss: 0.0889306366443634, ts loss: 0.062114864587783813, fq loss: 0.018148507922887802, ts_freq loss: 0.0671745017170906, fq_freq loss: 0.019498182460665703

Epoch 48/100: loss: 0.08758779615163803, ts loss: 0.061403315514326096, fq loss: 0.017636721953749657, ts_freq loss: 0.06644706428050995, fq_freq loss: 0.01903054490685463

Epoch 49/100: loss: 0.08635985851287842, ts loss: 0.061103079468011856, fq loss: 0.0169257503002882, ts_freq loss: 0.06523031741380692, fq_freq loss: 0.018079988658428192

Epoch 50/100: loss: 0.08696269989013672, ts loss: 0.06131410226225853, fq loss: 0.01750052534043789, ts_freq loss: 0.06319291889667511, fq_freq loss: 0.01828782446682453

Epoch 51/100: loss: 0.0862191766500473, ts loss: 0.06097131222486496, fq loss: 0.01733073592185974, ts_freq loss: 0.061351414769887924, fq_freq loss: 0.017819836735725403

Epoch 52/100: loss: 0.08645720034837723, ts loss: 0.06143549457192421, fq loss: 0.01711893454194069, ts_freq loss: 0.06153085455298424, fq_freq loss: 0.017496775835752487

Epoch 53/100: loss: 0.08620370179414749, ts loss: 0.06081707775592804, fq loss: 0.017514588311314583, ts_freq loss: 0.06090899556875229, fq_freq loss: 0.017811378464102745

Epoch 54/100: loss: 0.08584015816450119, ts loss: 0.06069382652640343, fq loss: 0.017326967790722847, ts_freq loss: 0.060677237808704376, fq_freq loss: 0.017516450956463814

Epoch 55/100: loss: 0.08515743911266327, ts loss: 0.060557398945093155, fq loss: 0.01683429256081581, ts_freq loss: 0.06060872972011566, fq_freq loss: 0.017048856243491173

Epoch 56/100: loss: 0.08600027859210968, ts loss: 0.06086543947458267, fq loss: 0.01729416847229004, ts_freq loss: 0.06092146411538124, fq_freq loss: 0.0174852404743433

Epoch 57/100: loss: 0.08431433886289597, ts loss: 0.06020946055650711, fq loss: 0.016430623829364777, ts_freq loss: 0.06020279973745346, fq_freq loss: 0.016539709642529488

Epoch 58/100: loss: 0.08490903675556183, ts loss: 0.06011112034320831, fq loss: 0.01706361025571823, ts_freq loss: 0.06020823493599892, fq_freq loss: 0.017134875059127808

Epoch 59/100: loss: 0.0855889841914177, ts loss: 0.06010179594159126, fq loss: 0.01770976185798645, ts_freq loss: 0.060046806931495667, fq_freq loss: 0.0177274439483881

Epoch 60/100: loss: 0.0841526910662651, ts loss: 0.06007426977157593, fq loss: 0.01642753928899765, ts_freq loss: 0.0600421167910099, fq_freq loss: 0.016466669738292694

Epoch 61/100: loss: 0.08494598418474197, ts loss: 0.06002029404044151, fq loss: 0.017215510830283165, ts_freq loss: 0.059888314455747604, fq_freq loss: 0.01721346192061901

Epoch 62/100: loss: 0.08400441706180573, ts loss: 0.05962146073579788, fq loss: 0.01674521714448929, ts_freq loss: 0.059566888958215714, fq_freq loss: 0.01681041717529297

Epoch 63/100: loss: 0.0843471959233284, ts loss: 0.05979585275053978, fq loss: 0.016896920278668404, ts_freq loss: 0.059639815241098404, fq_freq loss: 0.016904355958104134

Epoch 64/100: loss: 0.08361712843179703, ts loss: 0.05945310741662979, fq loss: 0.016563767567276955, ts_freq loss: 0.05941905453801155, fq_freq loss: 0.016583452001214027

Epoch 65/100: loss: 0.08364129811525345, ts loss: 0.059534136205911636, fq loss: 0.016506513580679893, ts_freq loss: 0.05950205773115158, fq_freq loss: 0.016504446044564247

Epoch 66/100: loss: 0.08333875238895416, ts loss: 0.05892014130949974, fq loss: 0.016863100230693817, ts_freq loss: 0.058743275701999664, fq_freq loss: 0.016811899840831757

Epoch 67/100: loss: 0.08405860513448715, ts loss: 0.05929018557071686, fq loss: 0.01713593862950802, ts_freq loss: 0.0591999813914299, fq_freq loss: 0.017124809324741364

Epoch 68/100: loss: 0.08282746374607086, ts loss: 0.05888128653168678, fq loss: 0.016429994255304337, ts_freq loss: 0.05878019332885742, fq_freq loss: 0.016381574794650078

Epoch 69/100: loss: 0.08315262198448181, ts loss: 0.05898771435022354, fq loss: 0.01661631651222706, ts_freq loss: 0.058942366391420364, fq_freq loss: 0.016543569043278694

Epoch 70/100: loss: 0.08295091986656189, ts loss: 0.05903536081314087, fq loss: 0.016382668167352676, ts_freq loss: 0.059023719280958176, fq_freq loss: 0.016305215656757355

Epoch 71/100: loss: 0.08360572159290314, ts loss: 0.058511748909950256, fq loss: 0.017506316304206848, ts_freq loss: 0.05849122628569603, fq_freq loss: 0.01738537847995758

Epoch 72/100: loss: 0.08326435089111328, ts loss: 0.05916309729218483, fq loss: 0.0165544543415308, ts_freq loss: 0.05902498960494995, fq_freq loss: 0.016443034633994102

Epoch 73/100: loss: 0.08199752122163773, ts loss: 0.05882921814918518, fq loss: 0.01572638563811779, ts_freq loss: 0.05876098573207855, fq_freq loss: 0.01565820723772049

Epoch 74/100: loss: 0.08266009390354156, ts loss: 0.05876027047634125, fq loss: 0.016409490257501602, ts_freq loss: 0.05856591463088989, fq_freq loss: 0.01633734069764614

Epoch 75/100: loss: 0.08244353532791138, ts loss: 0.058387357741594315, fq loss: 0.01658039726316929, ts_freq loss: 0.058215994387865067, fq_freq loss: 0.01654179021716118

Epoch 76/100: loss: 0.08291478455066681, ts loss: 0.05883707478642464, fq loss: 0.016550350934267044, ts_freq loss: 0.05874098837375641, fq_freq loss: 0.016532588750123978

Epoch 77/100: loss: 0.08119811862707138, ts loss: 0.057472456246614456, fq loss: 0.016358785331249237, ts_freq loss: 0.05740242451429367, fq_freq loss: 0.01626630313694477

Epoch 78/100: loss: 0.08107816427946091, ts loss: 0.05751175805926323, fq loss: 0.016217321157455444, ts_freq loss: 0.057398032397031784, fq_freq loss: 0.016092780977487564

Epoch 79/100: loss: 0.0815335363149643, ts loss: 0.057755567133426666, fq loss: 0.0164015032351017, ts_freq loss: 0.05747164785861969, fq_freq loss: 0.016292966902256012

Epoch 80/100: loss: 0.0824795588850975, ts loss: 0.05790775641798973, fq loss: 0.017104219645261765, ts_freq loss: 0.05775827169418335, fq_freq loss: 0.016917556524276733

Epoch 81/100: loss: 0.08213446289300919, ts loss: 0.05800614878535271, fq loss: 0.016683252528309822, ts_freq loss: 0.057874664664268494, fq_freq loss: 0.01657598279416561

Epoch 82/100: loss: 0.0818963572382927, ts loss: 0.05773596093058586, fq loss: 0.016742005944252014, ts_freq loss: 0.057568226009607315, fq_freq loss: 0.016615651547908783

Epoch 83/100: loss: 0.08135797083377838, ts loss: 0.05755968764424324, fq loss: 0.01642046682536602, ts_freq loss: 0.057459257543087006, fq_freq loss: 0.01631890796124935

Epoch 84/100: loss: 0.0814044326543808, ts loss: 0.057664092630147934, fq loss: 0.01637852191925049, ts_freq loss: 0.05739322677254677, fq_freq loss: 0.01622498780488968

Epoch 85/100: loss: 0.08083932846784592, ts loss: 0.05746085196733475, fq loss: 0.016062935814261436, ts_freq loss: 0.05720718577504158, fq_freq loss: 0.01594831980764866

Epoch 86/100: loss: 0.08148440718650818, ts loss: 0.057700179517269135, fq loss: 0.016413241624832153, ts_freq loss: 0.05743137374520302, fq_freq loss: 0.016278468072414398

Epoch 87/100: loss: 0.08086854964494705, ts loss: 0.05740104243159294, fq loss: 0.016137106344103813, ts_freq loss: 0.05724802613258362, fq_freq loss: 0.016055896878242493

Epoch 88/100: loss: 0.08094444870948792, ts loss: 0.05728038027882576, fq loss: 0.016338475048542023, ts_freq loss: 0.05703083798289299, fq_freq loss: 0.0162250567227602

Epoch 89/100: loss: 0.08071485906839371, ts loss: 0.05743151903152466, fq loss: 0.016009680926799774, ts_freq loss: 0.056923944503068924, fq_freq loss: 0.015812652185559273

Epoch 90/100: loss: 0.08043067902326584, ts loss: 0.057138994336128235, fq loss: 0.016235509887337685, ts_freq loss: 0.054766688495874405, fq_freq loss: 0.0157950259745121

Epoch 91/100: loss: 0.08039255440235138, ts loss: 0.05698135867714882, fq loss: 0.016543157398700714, ts_freq loss: 0.0527811162173748, fq_freq loss: 0.01589931733906269

Epoch 92/100: loss: 0.07975970208644867, ts loss: 0.056870825588703156, fq loss: 0.016181306913495064, ts_freq loss: 0.0517117977142334, fq_freq loss: 0.015363852493464947

Epoch 93/100: loss: 0.07945648580789566, ts loss: 0.05692227557301521, fq loss: 0.0158943273127079, ts_freq loss: 0.05131761357188225, fq_freq loss: 0.015081163495779037

Epoch 94/100: loss: 0.07960789650678635, ts loss: 0.056649673730134964, fq loss: 0.016380377113819122, ts_freq loss: 0.05029402673244476, fq_freq loss: 0.015484386123716831

Epoch 95/100: loss: 0.078891821205616, ts loss: 0.05641520768404007, fq loss: 0.015992790460586548, ts_freq loss: 0.0498419851064682, fq_freq loss: 0.014996236190199852

Epoch 96/100: loss: 0.07908381521701813, ts loss: 0.05658191069960594, fq loss: 0.01601402834057808, ts_freq loss: 0.04991285130381584, fq_freq loss: 0.01496586948633194

Epoch 97/100: loss: 0.07965197414159775, ts loss: 0.056661441922187805, fq loss: 0.016443954780697823, ts_freq loss: 0.05004531890153885, fq_freq loss: 0.015420345589518547

Epoch 98/100: loss: 0.07790198177099228, ts loss: 0.05627121776342392, fq loss: 0.01524199265986681, ts_freq loss: 0.04960156977176666, fq_freq loss: 0.014285982586443424

Epoch 99/100: loss: 0.07959769666194916, ts loss: 0.0568544864654541, fq loss: 0.01623827964067459, ts_freq loss: 0.049944039434194565, fq_freq loss: 0.01510519627481699

Epoch 100/100: loss: 0.07939013093709946, ts loss: 0.05646391957998276, fq loss: 0.016424108296632767, ts_freq loss: 0.04965227097272873, fq_freq loss: 0.01536883506923914

Training time is : 0:05:27.504876
